accession_numbers,log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.
NP_001606,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
NP_001605,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
NP_001092,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
NP_001186822,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
NP_033738,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
NP_033736,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
NP_031418,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
NP_033740,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
NP_031419,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
NP_033739,-0.334,0.2,0.233,0.095,0.242,0.154,0.037,-0.095,0.193
NP_001154806,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_733759,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_001019770,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_003519,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_778225,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_003512,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_003516,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_003518,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_003510,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_066406,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_542160,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_066402,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_003511,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_066407,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_003515,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_996765,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_835509,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_001104025,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_783594,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_783597,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_835586,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_084358,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_835501,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_835507,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
NP_835508,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
