Substrate_ACC,Substrate_GN,Cortex_1,Cortex_2,Cortex_3,PDGFRA_4,PDGFRA_5,PDGFRA_6,PDGFRA_7,NTRK_8,NTRK_9,NTRK_10
P43346,Dck,84066.34339,100742.1806,84469.22144,153336.0384,144598.1562,159266.5064,146365.1743,182336.6141,182841.0019,132799.5286
Q8BWQ5,Dclk3,605500.6424,582447.5778,566749.7338,772676.0888,781762.7942,639149.6407,663916.7666,1049888.089,1029835.712,685034.9583
Q8K2D6,Dctd,47005.10448,46728.454,50120.96699,90244.31318,89771.40013,82139.99869,69939.40952,120961.2439,116706.9241,105844.803
Q9CXV9,Dcun1d5,178537.0537,179414.5014,181254.3713,214797.9522,217226.0336,207677.9373,207411.8997,276044.6612,268554.127,206630.4235
O88809,Dcx,853418.9589,838110.0757,877090.6419,1260783.191,1136618.231,1310789.493,1255572.532,1217284.371,1337961.743,974591.6115
O54734,Ddost,2297935.857,2332184.866,2334180.477,3010577.79,3057477.777,3420569.782,3061725.419,3549767.017,3818758.94,3388421.601
Q62371,Ddr2,104288.1883,105944.0791,104616.1846,150572.4329,148583.1126,152410.4274,142131.2706,162197.3561,161442.858,148388.8489
Q80Y44,Ddx10,114985.0622,122293.6584,125959.3775,172585.3396,174618.1345,175635.8992,154376.0073,196936.1164,206217.5391,158842.3385
Q6AXC6,Ddx11,65154.69422,62601.16779,64375.83262,84033.91961,83558.74434,83126.29884,80605.54213,124478.5242,123805.3451,77741.45604
Q501J6,Ddx17,3861363.96,3779857.96,3982848.165,4859378.844,4915825.992,4761161.507,4899872.294,5997590.785,6358510.655,4734927.549
Q8K363,Ddx18,405379.8235,424196.835,420601.2704,763977.1361,805787.579,776478.4344,702274.812,849385.3589,942274.203,670931.0262
Q9JIK5,Ddx21,400320.4444,423926.3519,417760.814,797114.1677,822837.876,795461.5818,713395.0277,794955.865,945586.8553,654845.2857
D3Z0M9,Ddx23,848422.2114,866437.3624,860430.5456,1149138.42,1144519.576,1168590.177,1076652.354,1315147.543,1375328.866,1040327.711
Q8BND4,Ddx26b,76173.20173,77173.29983,78318.85033,115900.88,114728.103,116292.0128,105448.9878,124140.2562,119664.2696,102492.0255
Q921N6,Ddx27,232939.9049,238374.2091,245841.3851,403265.7673,432769.5241,442916.7849,405564.3354,512901.1908,559898.984,387479.9763
Q6NZQ2,Ddx31,106202.0055,117244.6589,110581.1893,159546.8237,158482.6435,167298.8732,153384.2874,171074.8415,184543.8641,145745.4622
Q9CWX9,Ddx47,141597.2302,144874.0686,152459.2868,194862.7979,200930.4948,188307.0284,185599.5812,222104.1289,243569.0088,175532.8963
Q4FZF3,Ddx49,248669.3888,264042.1785,266484.8665,332138.8217,326568.0739,352067.2021,348902.3258,394009.412,482842.3808,331866.2586
Q8K301,Ddx52,154757.6429,165030.6044,161629.7382,249176.1072,244556.9634,245908.4797,224054.2373,254600.2218,271658.4835,210589.6986
Q8K4L0,Ddx54,641366.7005,676405.7646,667164.3481,977463.9581,1068031.786,1055343.37,947212.8997,1051030.975,1196853.871,884260.4508
Q9D0R4,Ddx56,162409.386,176172.0066,164597.5293,261856.9501,259224.3878,260579.7746,247113.4739,330011.2931,341231.6559,234016.7825
Q6Q899,Ddx58,460441.7702,479317.6865,480365.6328,1078858.405,1129245.616,1194549.987,1213740.453,1232958.776,1301559.771,1480867.362
E9PZQ1,Ddx60,67416.44394,69578.15189,70836.62915,114454.1074,115193.724,120892.8351,121346.201,119124.3801,119392.0689,145741.9732
Q7TNV0,Dek,905488.5413,881330.5381,910854.9411,1349446.37,1355338.788,1350334.704,1334090.151,1992295.633,2177777.662,1434320.636
Q8C4S8,Dennd2a,350805.787,351807.5786,341578.5628,450466.4817,432245.1383,472413.1293,419843.7721,560382.3326,581257.7402,441094.0317
A2RT67,Dennd3,76236.85323,78005.64004,76971.7055,102996.1038,94498.44748,99687.44909,87917.95096,141452.3859,136492.6695,112041.4681
A6H8H2,Dennd4c,366669.4269,365055.8093,360207.406,472926.2464,460937.1928,472950.0396,432238.4519,606076.2083,597937.3977,534443.668
Q91YP3,Dera,77703.96113,80584.2434,77777.16612,143125.2868,139527.8191,149341.5823,134498.8362,140381.2752,152452.1337,126180.6511
Q9D291,Desi2,51016.37594,57991.04405,53488.77648,65801.82206,68582.72985,68913.82774,57648.94796,82462.05347,88195.09279,61619.54283
O54788,Dffb,42133.12713,36377.18502,39959.19978,57153.57069,60910.03095,61472.33101,71195.671,74805.82451,80286.32811,62915.59921
Q9EQM6,Dgcr8,153810.5281,162322.3673,162145.3183,244844.174,251381.1558,250742.6796,226548.5016,291640.2272,295156.6038,224119.3443
P00375,Dhfr,218855.2524,234030.3062,239357.7053,385758.5437,422672.7944,387961.0338,379877.4072,413763.7146,427904.5333,314540.3453
